FILE_PATH,ATTR,CMD,COMMENT,ENS,FILE,FILE_MODE,HARD_CODE,INCL,SLOC,REQ,SSH,URL,ICP_STATUS
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/jmxtrans/worker.pp,3,0,2,0,0,0,0,0,14,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/journalnode.pp,12,0,2,3,1,1,7,0,29,2,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/master.pp,0,0,7,0,0,0,0,3,15,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/namenode/standby.pp,1,1,10,0,0,0,1,0,23,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/nodemanager.pp,7,0,3,2,0,0,3,0,22,1,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/resourcemanager.pp,12,0,4,2,0,1,7,0,35,3,0,1,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/worker.pp,2,0,11,0,0,0,0,0,25,2,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/worker/paths.pp,13,0,35,3,3,3,12,0,70,1,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hive.pp,18,0,49,3,4,1,8,0,128,5,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hive/master.pp,2,0,17,0,0,0,1,0,40,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hive/metastore.pp,7,0,8,2,1,0,3,0,35,2,0,1,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hive/server.pp,16,0,10,2,1,2,11,0,60,4,0,1,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/pig.pp,10,0,4,3,3,0,6,0,39,3,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/kafka-2018-06/manifests/defaults.pp,0,0,3,0,0,0,28,0,78,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/kafka-2018-06/manifests/init.pp,1,0,12,1,0,0,1,0,20,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/kafka-2018-06/manifests/mirror/consumer.pp,5,0,30,0,1,0,7,0,56,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/kafka-2018-06/manifests/mirror/init.pp,6,0,5,3,1,0,2,0,38,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/kafka-2018-06/manifests/mirror/jmxtrans.pp,17,0,26,0,0,0,69,0,259,0,0,1,NEUTRAL
